id,station_code,name,kana,latitude,longitude,is_mission_set,created_at,updated_at,event_type_code,english_name
384,METRO_V1_IKEBUKURO,池袋,いけぶくろ,35.728926,139.71038,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Ikebukuro
385,METRO_V1_ITABASHI-KUYAKUSHOMAE,板橋区役所前,いたばしくやくしょまえ,35.751326,139.710166,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Itabashi-kuyakushomae
386,METRO_V1_ITABASHIHONCHO,板橋本町,いたばしほんちょう,35.761339,139.705535,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Itabashihoncho
387,METRO_V1_ICHIGAYA,市ケ谷,いちがや,35.69121073,139.7364902,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Ichigaya
388,METRO_V1_ICHINOE,一之江,いちのえ,35.686055,139.882934,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Ichinoe
389,METRO_V1_INARICHO,稲荷町,いなりちょう,35.711352,139.782734,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Inaricho
390,METRO_V1_IRIYA,入谷,いりや,35.720734,139.784542,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Iriya
391,METRO_V1_IWAMOTOCHO,岩本町,いわもとちょう,35.69557039,139.7751319,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Iwamotocho
392,METRO_V1_UENO,上野,うえの,35.713768,139.777254,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Ueno
393,METRO_V1_UENO-OKACHIMACHI,上野御徒町,うえのおかちまち,35.70796362,139.7733663,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Ueno-okachimachi
394,METRO_V1_UENO-HIROKOJI,上野広小路,うえのひろこうじ,35.70766,139.772977,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Ueno-hirokoji
395,METRO_V1_USHIGOME-KAGURAZAKA,牛込神楽坂,うしごめかぐらざか,35.700851,139.735802,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Ushigome-kagurazaka
396,METRO_V1_USHIGOME-YANAGICHO,牛込柳町,うしごめやなぎちょう,35.699518,139.725027,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Ushigome-yanagicho
397,METRO_V1_UCHISAIWAICHO,内幸町,うちさいわいちょう,35.66975,139.75561,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Uchisaiwaicho
398,METRO_V1_URAYASU,浦安,うらやす,35.665743,139.892937,FALSE,2026-03-11 23:42:48.426,2026-03-11 23:42:48.426,METRO_V1,Urayasu
