id,station_code,event_code,created_at,updated_at,team_code
45,SHINTSUNASHIMA,TOKYU_20250517,2025-05-17 07:08:22.52+00,2025-05-17 07:08:22.52+00,TEAM_C
46,YOGA,TOKYU_20250517,2025-05-17 07:24:57.513+00,2025-05-17 07:24:57.513+00,TEAM_D
47,TAMAPLAZA,TOKYU_20250517,2025-05-17 07:29:33.473+00,2025-05-17 07:29:33.473+00,TEAM_A
48,SHINYOKOHAMA,TOKYU_20250517,2025-05-17 07:42:46.701+00,2025-05-17 07:42:46.701+00,TEAM_C
49,TAMAGAWA,TOKYU_20250517,2025-05-17 07:52:18.748+00,2025-05-17 07:52:18.748+00,TEAM_B
50,TANA,TOKYU_20250517,2025-05-17 07:54:47.552+00,2025-05-17 07:54:47.552+00,TEAM_A
51,SAKURASHINMACHI,TOKYU_20250517,2025-05-17 08:02:41.313+00,2025-05-17 08:02:41.313+00,TEAM_D
52,OOKAYAMA,TOKYU_20250517,2025-05-17 08:09:50.913+00,2025-05-17 08:09:50.913+00,TEAM_B
53,SUZUKAKEDAI,TOKYU_20250517,2025-05-17 08:13:13.273+00,2025-05-17 08:13:13.273+00,TEAM_A
54,SHIBUYA,TOKYU_20250517,2025-05-17 08:17:01.616+00,2025-05-17 08:17:01.616+00,TEAM_D
55,TAMAGAWA,TOKYU_20250517,2025-05-17 08:40:40.443+00,2025-05-17 08:40:40.443+00,TEAM_C
56,YUTENJI,TOKYU_20250517,2025-05-17 08:42:57.704+00,2025-05-17 08:42:57.704+00,TEAM_D
57,TSUKIMINO,TOKYU_20250517,2025-05-17 08:46:07.541+00,2025-05-17 08:46:07.541+00,TEAM_A
